idCorsi;idTipoAttivita;idCorsoTemplate;NomeCorso;DataInizio;DataFine;Note;DurataLezioneMin;OraInizio;OraFine;CostoNettoLezione;CostoIvaLezione;CostoLordoLezione;IsAttivo
1;1;1;Scuola nuoto adulti - Mar/Ven - 08:45;NULL;NULL;;45;08:45:00;09:30:00;NULL;NULL;NULL;S
2;1;1;Scuola nuoto adulti - Mar/Ven - 09:30;NULL;NULL;;45;09:30:00;10:15:00;NULL;NULL;NULL;S
3;1;1;Scuola nuoto adulti - Mar/Ven - 19:00;NULL;NULL;;45;19:00:00;19:45:00;NULL;NULL;NULL;S
4;1;1;Scuola nuoto adulti - Mar/Ven - 19:45;NULL;NULL;;45;19:45:00;20:30:00;NULL;NULL;NULL;S
5;1;1;Scuola nuoto adulti - Mar/Ven - 20:30;NULL;NULL;;45;20:30:00;21:15:00;NULL;NULL;NULL;S
6;1;2;Scuola nuoto adulti - Lun/Gio - 19:00;NULL;NULL;;45;19:00:00;19:45:00;NULL;NULL;NULL;S
7;1;2;Scuola nuoto adulti - Lun/Gio - 19:45;NULL;NULL;;45;19:45:00;20:30:00;NULL;NULL;NULL;S
8;1;2;Scuola nuoto adulti - Lun/Gio - 20:30;NULL;NULL;;45;20:30:00;21:15:00;NULL;NULL;NULL;S
9;1;2;Scuola nuoto adulti - Lun/Gio - 21:15;NULL;NULL;;45;21:15:00;22:00:00;NULL;NULL;NULL;S
10;2;1;Scuola nuoto ragazzi - Mar/Ven - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
11;2;1;Scuola nuoto ragazzi - Mar/Ven - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
12;2;1;Scuola nuoto ragazzi - Mar/Ven -18:15;NULL;NULL;;45;18:15:00;19:00:00;NULL;NULL;NULL;S
13;2;2;Scuola nuoto ragazzi - Lun/Gio - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
14;2;2;Scuola nuoto ragazzi - Lun/Gio - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
15;2;2;Scuola nuoto ragazzi - Lun/Gio - 18:15;NULL;NULL;;45;18:15:00;19:00:00;NULL;NULL;NULL;S
16;2;4;Scuola nuoto ragazzi - Mer/Sab - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
17;2;4;Scuola nuoto ragazzi - Mer/Sab - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
18;2;7;Scuola nuoto ragazzi - Mer - 18:15;NULL;NULL;;45;18:15:00;19:00:00;NULL;NULL;NULL;S
19;3;1;Scuola nuoto baby - Mar/Ven - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
20;3;1;Scuola nuoto baby - Mar/Ven - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
21;3;1;Scuola nuoto baby - Mar/Ven -18:15;NULL;NULL;;45;18:15:00;19:00:00;NULL;NULL;NULL;S
22;3;2;Scuola nuoto baby - Lun/Gio - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
23;3;2;Scuola nuoto baby - Lun/Gio - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
24;3;4;Scuola nuoto baby - Mer/Sab - 16:45;NULL;NULL;;45;16:45:00;17:30:00;NULL;NULL;NULL;S
25;3;4;Scuola nuoto baby - Mer/Sab - 17:30;NULL;NULL;;45;17:30:00;18:15:00;NULL;NULL;NULL;S
26;3;7;Scuola nuoto baby - Mer - 18:15;NULL;NULL;;45;18:15:00;19:00:00;NULL;NULL;NULL;S
27;5;1;Acquagym - Mar/Ven - 08:45;NULL;NULL;non partito;45;08:45:00;09:30:00;NULL;NULL;NULL;S
28;5;1;Acquagym - Mar/Ven - 09:30;NULL;NULL;;45;09:30:00;10:15:00;NULL;NULL;NULL;S
29;5;1;Acquagym - Mar/Ven - 10:15;NULL;NULL;;45;10:15:00;11:00:00;NULL;NULL;NULL;S
